Prompt,Response,Actual Answer
"Whether or under what circumstances the Fourth Amendment permits police officers to conduct a warrantless search of the digital contents of an individual's cell phone seized from the person at the time of arrest. LIMITED TO THE FOLLOWING QUESTION:
Whether evidence admitted at petitioner's trial was obtained in a search of petitioner's cell phone that violated petitioner's Fourth Amendment rights.",4,1
"QUESTIONS PRESENTED

1. May a criminal defendant escape conviction by invoking the overbreadth doctrine even though (i) his own offense did not involve any expressive conduct, and (ii) his conduct was not proscribed by that portion of the government statute, regulation or policy he challenges as overbroad?

2. In  the  context of government's attempts to exclude  some  non-residents  from  a public  housing  complex,  does  the  Constitution  recognize  a  distinction  between actions  taken  by  government  as  landlord  and  actions  taken  by  government  as sovereign?
May a criminal defendant escape conviction by invoking the overbreadth doctrine even though (i) his own offense did not involve any expressive conduct, and (ii) his conduct was not proscribed by that portion of the government statute, regulation or policy he challenges as overbroad?",2,1
"Whether the Sixth Circuit erred in holding, in conflict with two other Circuits, that the fact that a claim administrator of an ERISA plan also funds the plan benefits, without more, constitutes a ""conflict of interest"" which must be weighed in a judicial review of the administrator's benefit determination under Firestone Tire & Rubber v. Bruch, 489 U.S. 101 (1989)?",0,0
"Does the Eighth Amendment permit the execution of a death row inmate who has a factual awareness of the reason for his execution but who, because of severe mental illness, has a delusional belief as to why the state is executing him, and thus does not appreciate that his execution is intended to seek retribution for his capital crime?",1,2
"The Merit Systems Protection Board (MSPB) is authorized to hear appeals by federal employees regarding certain adverse actions, such as dismissals. If in such an appeal the employee asserts that the challenged action was the result of unlawful discrimination, that claim is referred to as a ""mixed case."" The Question Presented is:
If the MSPB decides a mixed case without determining the merits of the discrimination claim, is the court with jurisdiction over that claim the Court of Appeals for the Federal Circuit or a district court?",0,0
"Prescription drug records, which contain information about patients, doctors, and medical treatment, exist because of federal and state regulation in this highly regulated field. This case is about information from prescription records known as ""prescriber-identifiable data."" Such data identifies the doctor or other prescriber, links the doctor to a particular prescription, and reveals other details about that prescription. Pharmacies sell this information to data mining companies, and the data miners aggregate and package the data for use as a marketing tool by pharmaceutical manufacturers. The law at issue in this case, Vermont's Prescription Confidentiality Law, affords prescribers the right to consent before information linking them to prescriptions for particular drugs can be sold or used for marketing. The Second Circuit held that Vermont's law violates the First Amendment, a holding that conflicts with two recent decisions of the First Circuit upholding similar laws. 
Whether a law that restricts access to information in nonpublic prescription drug records and affords prescribers the right to consent before their identifying information in prescription drug records is sold or used in marketing runs afoul of the First Amendment.",2,2
"This case involves regulation under the Clean Water Act (""CWA"") of the intake structures used by power plants to take in cooling water. After 30 years of regulating new facilities, the Environmental Protection Agency (""EPA"") promulgated a regulation requiring existing cooling water intake structures to be retrofitted to comply with EPA’s latest determination of the ""best technology available for minimizing adverse environmental impact,"" measured in terms of the potential effects on early life stages of fish. The Second Circuit, deferring to EPA, held that EPA has authority to retrofit existing facilities. Siding with environmental petitioners and against EPA, the court also held that EPA’s weighing of costs and benefits is limited to a narrow ""cost-effectiveness"" test. The questions presented, all of which implicate splits in circuit court authority, are:
Whether Section 316(b) of the Clean Water Act, 33 U.S.C. 1326(b), authorizes the Environmental Protection Agency (EPA) to compare costs with benefits in determining the ""best technology available for minimizing adverse environmental impact"" at cooling water intake structures.",3,1
"Whether the United States Court of Appeals for the Sixth Circuit, in a habeas case, erred in holding that the Michigan Supreme Court failed to apply clearly established Supreme Court precedent under 28 U.S.C. § 2254 in denying relief on double jeopardy grounds in the circumstance where the State trial court declared a mistrial after the foreperson said that the jury was not going to be able to reach a verdict.",2,1
"The Ninth Circuit affirmed the district court's jurisdiction over the Republic of Austria, a sovereign state, and its national museum, the Austrian Gallery, for a disputed expropriation claim that arose in 1948, twenty-eight years before enactment of the Foreign Sovereign Immunities Act of 1976, 28 U.S.C. § 1602 et seq. (""FSIA""). The claim challenges the Republic's ownership of artwork that is and always has been located in Austria. Jurisdiction and venue in the Central District of California were asserted notwithstanding that (a) the claims in this case arose before the United States adopted the restrictive theory of sovereign immunity in 1952, at a time when Austria had an expectation of absolute immunity from private civil suit in United States courts; (b) the United States opposes a finding of jurisdiction in this case; (c) respondent did not exhaust her legal remedies in Austria; (d) no part of the alleged events or omissions giving rise to the claim occurred in any judicial district in the United States, or concern any commercial activity here. In holding that the FSIA may be retrospectively applied to pre-1952 events, the Ninth Circuit's decision directly conflicts with the holdings of the Second, Eleventh and District of Columbia Circuits.
Does the expropriation exception of the Foreign Sovereign Immunities Act of 1976 (""FSIA""), 28 U.S.C. § 1605(a)(3), afford jurisdiction over claims against foreign states based on conduct that occurred before the United States adopted the restrictive theory of sovereign immunity in 1952?",4,1
"QUESTIONS PRESENTED:
1. Can a trial court’s unconstitutional exclusion of reliable evidence of third party guilt be deemed harmless error?
2. This Court’s decisions in Holmes v. South Carolina __U.S.___, 164 L.Ed.2d 503, 126 S.Ct. 1727 (2006), and House v. Bell, __U.S.__, 2006 U.S. Lexis 4675 (2006), were handed down after the decision of the Ninth Circuit below. Should this Court issue a GVR order in this case, directing the Ninth Circuit to reconsider its decision that the unconstitutional exclusion of reliable evidence of third party guilt can be harmless, in light of Holmes and House?
If constitutional error in a state trial is not recognized by the judiciary until the case ends up in federal court under 28 U.S.C. § 2254, is the prejudicial impact of the error assessed under the standard set forth in Chapman v. California, 386 U.S. 18 (1967), or that enunciated in Brecht v. Abrahamson, 507 U.S. 619 (1993)? Does it matter which harmless error standard is employed? And, if the Brecht standard applies, does the petitioner or the State bear the burden of persuasion on the question of prejudice?",3,3
"Whether the authority of the federal courts under the Administrative Procedure Act, 5 U.S.C. 706(1), to ""compel agency action unlawfully withheld or unreasonably delayed"" extends to review of the adequacy of an agency's ongoing management of public lands under general statutory standards and its own land use plans.",2,4
"Section 3582(c)(2) of Tit1e 18 of the United States Code provides that a district court may reduce a term of imprisonment after it has been imposed if the defendant ""has been sentenced to a term of imprisonment based on a sentencing range that has subsequently been lowered by the Sentencing Commission."" Under Federal Rule of Criminal Procedure 11(c)(1)(C), the Government and the defendant may enter into a plea agreement in which they ""agree that a specific sentence or sentencing range is the appropriate disposition of the case"" and ""such a recommendation or request binds the court once the court accepts the plea agreement. "" The question presented is
The question presented is whether a defendant is ineligible for a sentence reduction under 18 U.S.C. §3582(c)(2) solely because the district court accepted a Rule 11(c)(1)(C) plea agreement.",0,0
"In Medlmmune, Inc. v. Genentech, Inc., 549 U.S. 118, 137 (2007), this Court ruled that a patent licensee that believes that its products do not infringe the patent and accordingly are not subject to royalty payments is ""not required ... to break or terminate its ... license agreement before seeking a declaratory judgment in federal court that the underlying patent is ... not infringed.""
The question presented is whether, in such a declaratory judgment action brought by a licensee under Medlmmune, the licensee has the burden to prove that its products do not infringe the patent, or whether (as is the case in all other patent litigation, including other declaratory judgment actions), the patentee must prove infringement.",0,0
"In South Carolina, a criminal defendant's evidence of third-party guilt is inadmissible if, when comparing this evidence standing alone against the prosecution's evidence, the trial court finds that it fails to create a reasonable inference of innocence. In making this comparison, if the trial court finds the prosecution's evidence -- and especially its forensic evidence -- to be ""strong,"" third-party guilt evidence is per se inadmissible because it is deemed, as a matter of law, to be insufficient to ""overcome"" the prosecution's evidence so as to create a reasonable inference of innocence.
Whether South Carolina's rule governing the admissibility of third-party guilt evidence violates a criminal defendant's constitutional right to present a complete defense grounded in the Due Process, Confrontation, and Compulsory Process Clauses?",1,1
"In a sharply divided 6-5 decision that conflicts with many decisions of this Court and other circuits, the en banc Ninth Circuit affirmed the certification of the largest employment class action in history. This nationwide class includes every woman employed for any period of time over the past decade, in any of Wal-Mart's approximately 3,400 separately managed stores, 41 regions, and 400 districts, and who held positions in any of approximately 53 departments and 170 different job classifications. The millions of class members collectively seek billions of dollars in monetary relief under Title VII of the Civil Rights Act of 1964, claiming that tens of thousands of Wal-Mart managers inflicted monetary injury on each and every individual class member in the same manner by intentionally discriminating against them because of their sex, in violation of the company's express anti-discrimination policy. The questions presented are:
Whether claims for monetary relief can be certified under Federal Rule of Civil Procedure 23(b)(2) - which by its terms is limited to injunctive or corresponding declaratory relief - and, if so, under what circumstances.",0,3
